Ensemble,Vortex ID,Num Voxels,Num Surface Voxels,Max Depth,Surface Aspect Ratio,Surface Avg Radius,Life Time,Start Time,Rotation,Start Center X,Start Center Y,End Center X,End Center Y,Travelled Distance,Surface Temperature,Avg Temperature,Min Temperature,Max Temperature,Surface Salinity,Avg Salinity,Min Salinity,Max Salinity,Extreme SLA,Min SLA,Max SLA
45,0,2155888,79932,36,1.6777,0.0524244,59,0,CCW,0.752967,0.0728642,0.752967,0.0728642,0.756484,0.292714,0.209822,13.6889,27.512,0.401858,0.337675,35.9415,38.4362,0.262661,0.000311134,0.262661
45,1,2731591,79990,42,1.66258,0.0469854,59,0,CW,0.95807,0.161598,0.95807,0.161598,0.971603,0.390721,0.225012,10.3432,28.1386,0.554362,0.372912,35.6149,36.245,0.415758,-0.101827,0.415758
45,2,546919,18961,38,5.12639,0.0935429,29,0,CCW,0.283579,0.769772,0.283579,0.769772,0.820345,0,0,21.5715,26.7182,0,0,40.5723,40.6063,0.195841,-0.113373,0.195841
45,3,448249,17349,31,2.73808,0.0539409,48,0,CCW,0.868384,0.117226,0.868384,0.117226,0.87626,0,0,13.9654,27.3958,0,0,35.6434,36.4322,0.21859,-0.00469189,0.21859
45,4,4073,613,6,71.5729,0.829965,2,0,CW,0.609521,0.233457,0.609521,0.233457,0.652701,0,0,26.4244,28.3324,0,0,36.5656,37.4056,0.232638,0.163983,0.232638
45,5,1536,299,3,310.394,0.616375,2,0,CW,0.34737,0.756931,0.34737,0.756931,0.832833,0,0,25.4387,26.8608,0,0,39.402,39.5941,0.16103,0.134208,0.16103
45,6,1073,166,9,133.387,0.87817,0,0,CCW,0.434678,0.517104,0.434678,0.517104,0.67553,0,0,25.9761,27.6824,0,0,37.9771,40.3748,0.149634,0.103681,0.149634
45,7,391,146,4,109.937,0.775398,1,0,CCW,0.473365,0.312526,0.473365,0.312526,0.567228,0,0,27.8626,28.4395,0,0,37.7621,38.0066,0.180201,0.160001,0.180201
45,8,473,104,5,128.659,0.335916,2,0,CCW,0.634573,0.239868,0.634573,0.239868,0.678395,0,0,27.0079,28.2044,0,0,36.1022,37.0821,0.218157,0.20395,0.218157
45,9,621,175,3,198.131,0.65898,1,0,CW,0.680946,0.0672323,0.680946,0.0672323,0.684257,0,0,27.2312,27.8732,0,0,35.8688,36.1445,0.221578,0.188014,0.221578
